id,api,source,category,method,path,auth,body,expected,expectedResult,auditStatus,auditReason
FR09-AI-001,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":{{runnerId}}}",200,HTTP 200 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-002,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""BIGBUY"",""total_amount"":600000,""user_id"":{{runnerId}}}",200,HTTP 200 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-003,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-004,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":null,""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-005,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":"""",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-006,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""   "",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-007,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""NO_SUCH_CODE"",""total_amount"":500000,""user_id"":{{runnerId}}}",404,HTTP 404 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-008,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""save10"",""total_amount"":500000,""user_id"":{{runnerId}}}",404,HTTP 404 and valid JSON contract,INCOMPLETE,AI oracle completed by human review
FR09-AI-009,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""INACTIVE_HW06"",""total_amount"":500000,""user_id"":{{runnerId}}}",404,HTTP 404 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-010,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""' OR 1=1 --"",""total_amount"":500000,""user_id"":{{runnerId}}}",404,HTTP 404 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-011,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""<script>alert(1)</script>"",""total_amount"":500000,""user_id"":{{runnerId}}}",404,HTTP 404 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-012,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-013,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":null,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-014,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":0,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-015,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":-1,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-016,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":""500000"",""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-017,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":{""value"":500000},""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-018,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":299999,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-019,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":300000,""user_id"":{{runnerId}}}",200,HTTP 200 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-020,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":300001,""user_id"":{{runnerId}}}",200,HTTP 200 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-021,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":300000.5,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,INCOMPLETE,AI oracle completed by human review
FR09-AI-022,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""EXPIRED"",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-023,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""EXPIRES_NOW_HW06"",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-024,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":{{runnerId}}}",200,HTTP 200 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-025,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""ZERO_HW06"",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,INVALID,AI expectation corrected by human review
FR09-AI-026,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""PERCENT100_HW06"",""total_amount"":500000,""user_id"":{{runnerId}}}",200,HTTP 200 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-027,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""PERCENT101_HW06"",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-028,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""FIXED_BIG_HW06"",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,INCOMPLETE,AI oracle completed by human review
FR09-AI-029,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""BONUS_HW06"",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-030,FR09,AI,domain/security/schema,POST,/api/apply-coupon,none,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":{{runnerId}}}",401,HTTP 401 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-031,FR09,AI,domain/security/schema,POST,/api/apply-coupon,invalid,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":{{runnerId}}}",403,HTTP 403 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-032,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":""abc""}",200,HTTP 200 and valid JSON contract,INCOMPLETE,AI oracle completed by human review
FR09-AI-033,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":2}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-034,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""VIP100"",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,VALID,AI case accepted after human review
FR09-AI-035,FR09,AI,domain/security/schema,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":{{runnerId}}}",200,HTTP 200 and valid JSON contract,INCOMPLETE,AI oracle completed by human review
H-FR09-36,FR09,HUMAN,human/identity,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,HUMAN,Human extension after AI review
H-FR09-37,FR09,HUMAN,human/security,POST,/api/apply-coupon,none,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":{{runnerId}}}",401,HTTP 401 and valid JSON contract,HUMAN,Human extension after AI review
H-FR09-38,FR09,HUMAN,human/concurrency,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":500000,""user_id"":{{runnerId}}}",200,HTTP 200 and valid JSON contract,HUMAN,Human extension after AI review
H-FR09-39,FR09,HUMAN,human/integrity,POST,/api/coupon-usage,user,"{""coupon_id"":999999}",400,HTTP 400 and valid JSON contract,HUMAN,Human extension after AI review
H-FR09-40,FR09,HUMAN,human/overflow,POST,/api/apply-coupon,user,"{""code"":""SAVE10"",""total_amount"":9007199254740992,""user_id"":{{runnerId}}}",400,HTTP 400 and valid JSON contract,HUMAN,Human extension after AI review
